LOCATION,Country,Value,GDPPerCapita
AUS,Australia,7.3,28452.17061
AUT,Austria,7.1,1431.778723
BEL,Belgium,6.9,512.0127781
CAN,Canada,7.4,1673.835527
CZE,Czech Republic,6.7,3506.073128
DNK,Denmark,7.6,4124.05539
FIN,Finland,7.6,37475.63506
FRA,France,6.5,5969.616593
DEU,Germany,7,38141.86713
GRC,Greece,5.4,12790.24247
HUN,Hungary,5.6,3591.828052
ISL,Iceland,7.5,12038.2497
IRL,Ireland,7,15198.74297
ITA,Italy,6,49881.76371
JPN,Japan,5.9,45276.83144
KOR,Korea,5.9,3880.738731
LUX,Luxembourg,6.9,260.5652208
MEX,Mexico,6.5,41984.10303
NLD,Netherlands,7.4,1087.287331
NZL,New Zealand,7.3,688.2506963
NOR,Norway,7.6,1401.564635
POL,Poland,6.1,7569.478815
PRT,Portugal,5.4,22608.45256
SVK,Slovak Republic,6.2,31732.91914
ESP,Spain,6.3,4994.971551
SWE,Sweden,7.3,5039.681886
CHE,Switzerland,7.5,4856.973249
TUR,Turkey,5.5,106885.8785
GBR,United Kingdom,6.8,3076.65644
USA,United States,6.9,8710.06329
BRA,Brazil,6.4,16900.04829
CHL,Chile,6.5,27158.40565
EST,Estonia,5.7,2930.574923
ISR,Israel,7.2,6982.917492
LVA,Latvia,5.9,402.1916451
RUS,Russia,5.8,42315.60371
SVN,Slovenia,5.9,12829.89634
ZAF,South Africa,4.7,83073.28008
OECD,OECD - Total,6.5,
COL,Colombia,6.3,13753.59215
LTU,Lithuania,5.9,8094.363367
,,,2013.381448
,,,1413.255957
,,,471.3188225
,,,2050.993415
,,,5870.777957
,,,1273.050952
,,,3130.998753
,,,12011.22275
,,,9574.221486
,,,8060.796598
,,,19555.36585
,,,78471.62873
,,,24605.92083
,,,18575.23203
,,,42107.51727
,,,2802.166204
,,,8080.968623
,,,54663.99837
,,,7280.88361
,,,3946.452447
,,,6575.51412
,,,3257.391915
,,,9845.914175
,,,7189.28646
,,,22446.16875
,,,6060.092962
,,,3519.87324
,,,35139.82359
,,,
,,,26505.34322
,,,18282.92339
,,,717.1248698
,,,31168.43604
,,,1656.735971
,,,43784.28396
,,,5651.272721
,,,37037.37419
,,,56854.10265
,,,3014.700358
,,,6984.419712
,,,41499.5557
,,,4062.169888
,,,1971.956935
,,,
,,,732.2915119
,,,690.7804932
,,,661.4578387
,,,9250.316493
,,,17911.79938
,,,9628.259169
,,,48181.87419
,,,4173.301666
,,,36214.00692
,,,5811.397924
,,,41112.5094
,,,43731.10682
,,,2326.297278
,,,905.3437711
,,,12527.73986
,,,1290.380508
,,,13107.37791
,,,5526.653885
,,,4461.24653
,,,1253.714436
,,,1795.212451
,,,3562.816334
,,,979.6875448
,,,82197.12677
,,,1732.554242
,,,
,,,62818.96636
,,,5253.42656
,,,4550.658638
,,,61987.92636
,,,37330.2618
,,,30939.71425
,,,4843.7499
,,,4175.356602
,,,39400.73936
,,,7714.841844
,,,1525.235192
,,,1120.666513
,,,1269.591499
,,,1584.738015
,,,19541.12783
,,,29288.87044
,,,27653.15762
,,,7930.901915
,,,2324.400917
,,,7653.73363
,,,740.914906
,,,4035.196802
,,,10362.35166
,,,8352.056223
,,,971.750509
,,,646.1046361
,,,165642.3863
,,,3886.291502
,,,2139.539533
,,,4339.347951
,,,1018.931093
,,,8156.791158
,,,14998.12506
,,,106826.7264
,,,14322.02268
,,,73545.75824
,,,
,,,2896.722196
,,,170028.6557
,,,2880.439281
,,,475.9555568
,,,9209.443564
,,,7161.033137
,,,8744.515559
,,,3490.998389
,,,4733.851353
,,,5149.589074
,,,780.7235695
,,,25741.44606
,,,1136.610665
,,,3791.302622
,,,7028.936577
,,,3658.3903
,,,21891.18479
,,,428.9266729
,,,1536.854888
,,,9681.618567
,,,315.7779871
,,,9817.78709
,,,56451.5175
,,,4546.986688
,,,32391.19722
,,,500.2149113
,,,2176.002772
,,,2107.57406
,,,46007.85292
,,,70460.56053
,,,899.523581
,,,9521.042101
,,,40080.49411
,,,36072.08446
,,,16772.73921
,,,12384.39739
,,,1368.426961
,,,14343.98026
,,,6204.996457
,,,3073.654686
,,,16835.986
,,,2509.629637
,,,12447.43959
,,,1385.784918
,,,30627.1634
,,,
,,,19978.40121
,,,5324.609068
,,,3527.613824
,,,3963.692373
,,,41442.76238
,,,
,,,57162.96801
,,,9548.587403
,,,8704.898413
,,,744.7607488
,,,1652.251801
,,,19878.76384
,,,1069.839957
,,,1269.903294
,,,56848.17539
,,,2225.486842
,,,501.4151655
,,,3805.995686
,,,43828.23246
,,,389.8220615
,,,5765.200762
,,,1528.185535
,,,
,,,1529.439256
,,,11350.72567
,,,1700.097997
,,,5872.789429
,,,16501.08385
,,,21663.64341
,,,51965.15715
,,,3425.531957
,,,31616.6817
,,,15068.62035
,,,707.5052667
,,,28241.47929
,,,693.4497674
,,,6648.812448
,,,7677.400469
,,,803.1518934
,,,5993.305516
,,,807.1025861
,,,6387.682575
,,,8186.788135
,,,1353.754934
,,,3794.449568
,,,4157.877249
,,,1652.251801
,,,1529.439256
,,,16250.62869
,,,3924.363346
,,,10894.60338
,,,3253.899536
,,,966.5030166
,,,736.5598474
,,,2187.73051
,,,8053.167884
,,,16715.63347
,,,58021.4005
,,,2704.677188
,,,7074.548765
,,,
,,,
,,,35324.97489
,,,2192.174482
,,,2805.66532
,,,10264.92866
,,,4109.663228
,,,3759.560246
,,,1152.720966
,,,5756.965741
,,,1280.806543
,,,1464.588957
