"","day","mo","temp","NUM_CRIMES"
"2",2,1,34,0.188679245283019
"3",3,1,38.2,0.518867924528302
"4",4,1,18.2,0.185534591194969
"5",5,1,9.3,0.182389937106918
"6",6,1,4.4,0.150943396226415
"7",7,1,6.5,0.20440251572327
"8",1,1,9.2,0.119496855345912
"9",2,1,21.5,0.50314465408805
"10",3,1,37.5,0.477987421383648
"11",4,1,31.6,0.345911949685535
"12",5,1,26.1,0.286163522012579
"13",6,1,19.9,0.773584905660377
"14",7,1,28.9,0.415094339622642
"15",1,1,26,0.323899371069182
"16",2,1,32.6,0.311320754716981
"17",3,1,37.2,0.477987421383648
"18",4,1,34.7,0.484276729559748
"19",5,1,35.8,0.581761006289308
"20",6,1,39,0.723270440251572
"21",7,1,48.2,0.732704402515723
"22",1,1,42.8,0.594339622641509
"23",2,1,39.4,0.742138364779874
"24",3,1,36.6,0.575471698113208
"25",4,1,37.2,0.613207547169811
"26",5,1,33.2,0.380503144654088
"27",6,1,27.8,0.726415094339623
"28",7,1,26.7,0.559748427672956
"29",1,1,26.8,0.254716981132075
"30",2,1,22.1,0.638364779874214
"31",3,1,36,0.569182389937107
"32",4,2,34.6,0.924528301886792
"33",5,2,20.6,0.371069182389937
"34",6,2,19.1,0.367924528301887
"35",7,2,21.6,0.267295597484277
"36",1,2,32.7,0.446540880503145
"37",2,2,33.5,0.657232704402516
"38",3,2,43.8,0.440251572327044
"39",4,2,30.7,0.355345911949686
"40",5,2,19,0.361635220125786
"41",6,2,25.7,0.60377358490566
"42",7,2,40.9,0.474842767295597
"43",1,2,39.3,0.393081761006289
"44",2,2,34.6,0.518867924528302
"45",3,2,39.7,0.50314465408805
"46",4,2,33.2,0.377358490566038
"47",5,2,33.4,0.371069182389937
"48",6,2,43.2,0.874213836477987
"49",7,2,57.5,0.613207547169811
"50",1,2,51.1,0.380503144654088
"51",2,2,53,0.49685534591195
"52",3,2,60.1,0.39622641509434
"53",4,2,57.7,0.471698113207547
"54",5,2,51.6,0.320754716981132
"55",6,2,39.4,0.336477987421384
"56",7,2,29.3,0.144654088050314
"57",1,2,32.3,0.0723270440251572
"58",2,2,41.1,0.251572327044025
"59",3,2,51.3,0.245283018867925
"60",4,3,47.1,0.591194968553459
"61",5,3,32,0.238993710691824
"62",6,3,27.5,0.377358490566038
"63",7,3,33.2,0.251572327044025
"64",1,3,41.4,0.342767295597484
"65",2,3,54.8,0.408805031446541
"66",3,3,55.1,0.405660377358491
"67",4,3,46.3,0.358490566037736
"68",5,3,39,0.386792452830189
"69",6,3,31.8,0.355345911949686
"70",7,3,24,0.333333333333333
"71",1,3,26.5,0
"74",4,3,23.5,0.169811320754717
"75",5,3,29,0.361635220125786
"76",6,3,38.2,0.490566037735849
"77",7,3,42.3,0.380503144654088
"78",1,3,40.8,0.163522012578616
"79",2,3,48.6,0.449685534591195
"80",3,3,43.7,0.30503144654088
"81",4,3,33.5,0.29559748427673
"82",5,3,36.8,0.355345911949686
"83",6,3,58.3,0.710691823899371
"84",7,3,42.7,0.446540880503145
"85",1,3,51.3,0.468553459119497
"86",2,3,50.4,0.531446540880503
"87",3,3,43.8,0.377358490566038
"88",4,3,40.9,0.364779874213836
"89",5,3,43.3,0.433962264150943
"90",6,3,39.3,0.70440251572327
"91",7,4,44.6,0.874213836477987
"92",1,4,49.7,0.430817610062893
"93",2,4,50.4,0.452830188679245
"94",3,4,48.9,0.5
"95",4,4,44.8,0.251572327044025
"96",5,4,42.9,0.361635220125786
"97",6,4,43.8,0.477987421383648
"98",7,4,49.9,0.449685534591195
"99",1,4,64.1,0.654088050314465
"100",2,4,68.8,0.408805031446541
"101",3,4,46.8,0.471698113207547
"102",4,4,47.7,0.544025157232704
"103",5,4,49.7,0.352201257861635
"104",6,4,54.1,0.691823899371069
"105",7,4,69.7,0.830188679245283
"106",1,4,68.1,0.421383647798742
"107",2,4,58.8,0.625786163522013
